date,merchant,description,amount,category,profile,bank,currency
2024-01-01,Canada Child Benefit,Canada Child Benefit income deposit,5934.94,Income,Family,RBC,CAD
2024-01-02,Loblaws,Loblaws debit transaction,-159.4,Groceries,Family,RBC,CAD
2024-01-02,Property Tax,Property Tax debit transaction,-3481.48,Housing,Family,RBC,CAD
2024-01-03,Petro Canada,Transportation payment - Petro Canada,-84.03,Transportation,Family,RBC,CAD
2024-01-05,Kids & Company,Kids & Company purchase,-763.52,Childcare,Family,RBC,CAD
2024-01-05,Petro Canada,RBC card transaction at Petro Canada,-226.15,Transportation,Family,RBC,CAD
2024-01-08,Dental Clinic,RBC card transaction at Dental Clinic,-37.7,Healthcare,Family,RBC,CAD
2024-01-10,Rogers Mobile,Utilities payment - Rogers Mobile,-114.17,Utilities,Family,RBC,CAD
2024-01-10,Shell,Shell debit transaction,-213.97,Transportation,Family,RBC,CAD
2024-01-13,Boston Pizza,Boston Pizza debit transaction,-188.89,Dining,Family,RBC,CAD
2024-01-14,Boston Pizza,Boston Pizza purchase,-143.92,Dining,Family,RBC,CAD
2024-01-15,Disney+,RBC card transaction at Disney+,-11.55,Subscriptions,Family,RBC,CAD
2024-01-16,Dental Clinic,Healthcare payment - Dental Clinic,-98.58,Healthcare,Family,RBC,CAD
2024-01-16,Petro Canada,RBC card transaction at Petro Canada,-62.12,Transportation,Family,RBC,CAD
2024-01-18,Auto Insurance,RBC card transaction at Auto Insurance,-334.38,Insurance,Family,RBC,CAD
2024-01-18,Boston Pizza,Dining payment - Boston Pizza,-56.89,Dining,Family,RBC,CAD
2024-01-20,Wealthsimple,Wealthsimple debit transaction,-1549.0,Savings/Investments,Family,RBC,CAD
2024-01-21,Loblaws,Groceries payment - Loblaws,-82.39,Groceries,Family,RBC,CAD
2024-01-21,Property Tax,Property Tax purchase,-3755.59,Housing,Family,RBC,CAD
2024-01-30,Walmart Grocery,Walmart Grocery purchase,-192.03,Groceries,Family,RBC,CAD
2024-01-31,Uber Eats,Uber Eats purchase,-148.58,Dining,Family,RBC,CAD
2024-02-01,Canada Child Benefit,Direct deposit from Canada Child Benefit,7917.62,Income,Family,RBC,CAD
2024-02-01,Canadian Tire Gas,RBC card transaction at Canadian Tire Gas,-112.92,Transportation,Family,RBC,CAD
2024-02-02,Mortgage Payment,RBC card transaction at Mortgage Payment,-2873.69,Housing,Family,RBC,CAD
2024-02-02,Uber Eats,RBC card transaction at Uber Eats,-50.72,Dining,Family,RBC,CAD
2024-02-03,Canadian Tire Gas,Canadian Tire Gas purchase,-107.22,Transportation,Family,RBC,CAD
2024-02-03,Tim Hortons,Tim Hortons purchase,-20.91,Coffee,Family,RBC,CAD
2024-02-05,School Lunch Program,RBC card transaction at School Lunch Program,-363.9,Childcare,Family,RBC,CAD
2024-02-08,Uber Eats,Uber Eats debit transaction,-186.18,Dining,Family,RBC,CAD
2024-02-09,Petro Canada,RBC card transaction at Petro Canada,-196.62,Transportation,Family,RBC,CAD
2024-02-10,Bell Internet,Bell Internet purchase,-285.71,Utilities,Family,RBC,CAD
2024-02-11,Netflix,RBC card transaction at Netflix,-18.51,Subscriptions,Family,RBC,CAD
2024-02-11,Sun Life,Insurance payment - Sun Life,-324.84,Insurance,Family,RBC,CAD
2024-02-14,Tim Hortons,Tim Hortons purchase,-15.21,Coffee,Family,RBC,CAD
2024-02-15,Disney+,Disney+ purchase,-24.7,Subscriptions,Family,RBC,CAD
2024-02-15,Loblaws,Loblaws purchase,-144.56,Groceries,Family,RBC,CAD
2024-02-18,Sun Life,Sun Life purchase,-272.22,Insurance,Family,RBC,CAD
2024-02-18,Tim Hortons,Tim Hortons purchase,-22.93,Coffee,Family,RBC,CAD
2024-02-24,Auto Insurance,Auto Insurance purchase,-252.75,Insurance,Family,RBC,CAD
2024-02-25,Swiss Chalet,Swiss Chalet purchase,-172.62,Dining,Family,RBC,CAD
2024-02-26,Loblaws,RBC card transaction at Loblaws,-369.61,Groceries,Family,RBC,CAD
2024-02-27,LifeLabs,LifeLabs purchase,-357.2,Healthcare,Family,RBC,CAD
2024-02-28,Tim Hortons,Tim Hortons debit transaction,-22.81,Coffee,Family,RBC,CAD
2024-03-01,Canada Child Benefit,Canada Child Benefit income deposit,9306.83,Income,Family,RBC,CAD
2024-03-02,Property Tax,Property Tax purchase,-4235.82,Housing,Family,RBC,CAD
2024-03-03,LifeLabs,RBC card transaction at LifeLabs,-366.26,Healthcare,Family,RBC,CAD
2024-03-06,Loblaws,Loblaws purchase,-353.45,Groceries,Family,RBC,CAD
2024-03-08,Shell,Transportation payment - Shell,-188.28,Transportation,Family,RBC,CAD
2024-03-08,Starbucks,RBC card transaction at Starbucks,-26.05,Coffee,Family,RBC,CAD
2024-03-10,Rogers Mobile,Rogers Mobile debit transaction,-374.76,Utilities,Family,RBC,CAD
2024-03-14,Canadian Tire Gas,Canadian Tire Gas debit transaction,-80.02,Transportation,Family,RBC,CAD
2024-03-15,Netflix,Netflix debit transaction,-30.27,Subscriptions,Family,RBC,CAD
2024-03-15,Starbucks,Starbucks debit transaction,-10.06,Coffee,Family,RBC,CAD
2024-03-15,Uber Eats,Uber Eats purchase,-61.52,Dining,Family,RBC,CAD
2024-03-17,Shell,Shell purchase,-206.47,Transportation,Family,RBC,CAD
2024-03-18,Auto Insurance,Insurance payment - Auto Insurance,-377.68,Insurance,Family,RBC,CAD
2024-03-18,Property Tax,RBC card transaction at Property Tax,-2340.93,Housing,Family,RBC,CAD
2024-03-20,RESP Transfer,RBC card transaction at RESP Transfer,-905.67,Savings/Investments,Family,RBC,CAD
2024-03-20,Shell,Transportation payment - Shell,-102.5,Transportation,Family,RBC,CAD
2024-03-22,Costco,Costco debit transaction,-280.11,Groceries,Family,RBC,CAD
2024-03-22,Shoppers Drug Mart,Shoppers Drug Mart purchase,-259.79,Healthcare,Family,RBC,CAD
2024-03-22,Tim Hortons,RBC card transaction at Tim Hortons,-19.45,Coffee,Family,RBC,CAD
2024-03-23,Shell,RBC card transaction at Shell,-95.81,Transportation,Family,RBC,CAD
2024-03-25,Costco,Costco debit transaction,-285.43,Groceries,Family,RBC,CAD
2024-03-31,Manulife Insurance,Manulife Insurance purchase,-284.0,Insurance,Family,RBC,CAD
2024-04-01,Payroll Deposit,Payroll Deposit income deposit,5949.84,Income,Family,RBC,CAD
2024-04-02,Property Tax,Housing payment - Property Tax,-3868.59,Housing,Family,RBC,CAD
2024-04-03,Netflix,RBC card transaction at Netflix,-32.78,Subscriptions,Family,RBC,CAD
2024-04-03,Starbucks,Coffee payment - Starbucks,-22.27,Coffee,Family,RBC,CAD
2024-04-04,Auto Insurance,Auto Insurance purchase,-169.97,Insurance,Family,RBC,CAD
2024-04-04,Costco,Groceries payment - Costco,-91.0,Groceries,Family,RBC,CAD
2024-04-10,Canadian Tire Gas,Canadian Tire Gas purchase,-64.19,Transportation,Family,RBC,CAD
2024-04-10,Enbridge Gas,Utilities payment - Enbridge Gas,-141.13,Utilities,Family,RBC,CAD
2024-04-11,RESP Transfer,RBC card transaction at RESP Transfer,-1135.78,Savings/Investments,Family,RBC,CAD
2024-04-12,Canada Child Benefit,Canada Child Benefit income deposit,8658.24,Income,Family,RBC,CAD
2024-04-12,Shell,Shell debit transaction,-254.65,Transportation,Family,RBC,CAD
2024-04-12,Shoppers Drug Mart,Shoppers Drug Mart purchase,-71.71,Healthcare,Family,RBC,CAD
2024-04-13,Shoppers Drug Mart,Healthcare payment - Shoppers Drug Mart,-115.48,Healthcare,Family,RBC,CAD
2024-04-15,Spotify Family,Spotify Family purchase,-26.17,Subscriptions,Family,RBC,CAD
2024-04-16,Starbucks,Coffee payment - Starbucks,-26.9,Coffee,Family,RBC,CAD
2024-04-18,Manulife Insurance,RBC card transaction at Manulife Insurance,-358.08,Insurance,Family,RBC,CAD
2024-04-19,Uber Eats,RBC card transaction at Uber Eats,-162.61,Dining,Family,RBC,CAD
2024-04-20,RESP Transfer,RESP Transfer purchase,-116.42,Savings/Investments,Family,RBC,CAD
2024-04-21,Shell,Shell debit transaction,-72.87,Transportation,Family,RBC,CAD
2024-04-23,Tim Hortons,RBC card transaction at Tim Hortons,-11.81,Coffee,Family,RBC,CAD
2024-04-24,Shell,Transportation payment - Shell,-51.58,Transportation,Family,RBC,CAD
2024-04-26,Farm Boy,Farm Boy debit transaction,-129.89,Groceries,Family,RBC,CAD
2024-04-27,Mortgage Payment,Housing payment - Mortgage Payment,-3696.38,Housing,Family,RBC,CAD
